_id,report_date,previous_day_total_doses_administered,previous_day_at_least_one,previous_day_fully_vaccinated,previous_day_3doses,total_doses_administered,total_individuals_at_least_one,total_individuals_partially_vaccinated,total_doses_in_fully_vaccinated_individuals,total_individuals_fully_vaccinated,total_individuals_3doses
1,2021-01-01T00:00:00,6251,6241,2,,32189,32134,32123,22,11,
2,2021-01-02T00:00:00,4613,4601,6,,36802,36683,36670,26,13,
3,2021-01-03T00:00:00,5393,5386,3,,42195,42069,42053,32,16,
4,2021-01-04T00:00:00,5994,5992,0,,48189,48060,48045,30,15,
5,2021-01-05T00:00:00,9682,9657,20,,57871,57715,57681,68,34,
6,2021-01-06T00:00:00,12792,12327,450,,70663,70038,69558,960,480,
7,2021-01-07T00:00:00,16216,15505,697,,86879,85542,84365,2354,1177,
8,2021-01-08T00:00:00,18037,17022,1002,,104916,102564,100385,4358,2179,
9,2021-01-09T00:00:00,19500,18423,1064,,124416,120986,117743,6486,3243,
10,2021-01-10T00:00:00,11369,11330,37,,135785,132307,129028,6558,3279,
11,2021-01-11T00:00:00,11710,11661,48,,147495,143968,140641,6654,3327,
12,2021-01-12T00:00:00,14466,14159,298,,161961,158119,154494,7250,3625,
13,2021-01-13T00:00:00,15435,13813,1593,,177396,171918,166702,10432,5216,
14,2021-01-14T00:00:00,19182,16731,2436,,196578,188643,180992,15302,7651,
15,2021-01-15T00:00:00,20046,17990,2037,,216624,206622,196934,19376,9688,
16,2021-01-16T00:00:00,17115,15932,1170,,233739,222538,211680,21716,10858,
17,2021-01-17T00:00:00,11255,10012,1236,,244994,232535,220443,24184,12092,
18,2021-01-18T00:00:00,6792,6710,72,,251786,239222,227061,24322,12161,
19,2021-01-19T00:00:00,11825,9717,2094,,263611,248918,234663,28510,14255,
20,2021-01-20T00:00:00,10799,7210,3572,,274410,256105,238279,35652,17826,
21,2021-01-21T00:00:00,10968,6850,4091,,285378,262939,241022,43834,21917,
22,2021-01-22T00:00:00,9037,4320,4698,,294415,267222,240609,53226,26613,
23,2021-01-23T00:00:00,7447,3031,4388,,301862,270223,239223,62000,31000,
24,2021-01-24T00:00:00,4381,1825,2536,,306243,272030,238494,67072,33536,
25,2021-01-25T00:00:00,5318,1046,4263,,311561,273044,235246,75596,37798,
26,2021-01-26T00:00:00,9383,2860,6495,,320944,275872,231580,88584,44292,
27,2021-01-27T00:00:00,9893,2861,7004,,330837,278704,227409,102590,51295,
28,2021-01-28T00:00:00,13107,5732,7333,,343944,284403,225775,117256,58628,
29,2021-01-29T00:00:00,10684,3271,7379,,354628,287643,221637,132012,66006,
30,2021-01-30T00:00:00,9185,2726,6422,,363813,290327,217902,144850,72425,
31,2021-01-31T00:00:00,3373,1561,1767,,367186,291854,217663,148382,74191,
32,2021-02-01T00:00:00,2121,484,1609,,369307,292304,216508,151592,75796,
33,2021-02-02T00:00:00,4405,1352,2995,,373712,293618,214831,157574,78787,
34,2021-02-03T00:00:00,6232,1712,4458,,379944,295289,212051,166476,83238,
